year,site,colony,track,sample,calc,extension,density,hdbands,partmort,height,diameter
2008,sad,sad22,t1,sad22_t1,1.116,0.7871,1.417959751,0,0,7,15
2007,sad,sad22,t1,sad22_t1,1.325,0.8476,1.563538837,0,0,7,15
2006,sad,sad22,t1,sad22_t1,0.652,0.3935,1.657566794,0,0,7,15
2005,sad,sad22,t1,sad22_t1,1.607,1.0242,1.568570865,0,0,7,15
2013,dib,dib01,t1,dib01_t1,0.997,0.7619,1.308036253,0,0,,
2012,dib,dib01,t1,dib01_t1,1.015,0.9031,1.123965689,1,0,,
2011,dib,dib01,t1,dib01_t1,0.655,0.5499,1.191269006,0,0,,
2010,dib,dib01,t1,dib01_t1,0.582,0.5146,1.131774967,0,0,,
2009,dib,dib01,t1,dib01_t1,0.713,0.5752,1.239925275,0,0,,
2008,dib,dib01,t1,dib01_t1,0.715,0.5449,1.311791301,1,0,,
2007,dib,dib01,t1,dib01_t1,0.613,0.4187,1.464239933,0,0,,
2006,dib,dib01,t1,dib01_t1,0.828,0.5449,1.518727992,0,0,,
2005,dib,dib01,t1,dib01_t1,0.676,0.4339,1.557583686,0,0,,
2004,dib,dib01,t1,dib01_t1,0.638,0.4288,1.48745249,0,0,,
2003,dib,dib01,t1,dib01_t1,0.84,0.6004,1.399603557,0,0,,
2002,dib,dib01,t1,dib01_t1,0.42,0.2977,1.410518015,0,0,,
2001,dib,dib01,t1,dib01_t1,0.707,0.5247,1.347323587,0,0,,
2000,dib,dib01,t1,dib01_t1,0.956,0.7467,1.280707377,0,0,,
1999,dib,dib01,t1,dib01_t1,0.897,0.6357,1.410435545,0,0,,
1998,dib,dib01,t1,dib01_t1,0.66,0.5045,1.308710848,0,0,,
1997,dib,dib01,t1,dib01_t1,1.319,0.9939,1.32712981,0,0,,
1996,dib,dib01,t1,dib01_t1,0.802,0.5298,1.514089667,0,0,,
2013,dib,dib02,t1,dib02_t1,0.465,0.2321,2.002231979,1,0,,
2012,dib,dib02,t1,dib02_t1,0.697,0.3683,1.892222471,1,0,,
2011,dib,dib02,t1,dib02_t1,0.816,0.5247,1.555819094,1,0,,
2010,dib,dib02,t1,dib02_t1,1.135,0.893,1.271127127,1,0,,
2009,dib,dib02,t1,dib02_t1,0.708,0.7013,1.00970836,0,0,,
2008,dib,dib02,t1,dib02_t1,0.805,0.7013,1.147231555,0,0,,
2007,dib,dib02,t1,dib02_t1,0.579,0.449,1.289382901,0,0,,
2006,dib,dib02,t1,dib02_t1,0.837,0.7266,1.152472242,0,0,,
2005,dib,dib02,t1,dib02_t1,0.652,0.5398,1.207772461,0,0,,
2004,dib,dib02,t1,dib02_t1,0.517,0.3986,1.296260972,0,0,,
2003,dib,dib02,t1,dib02_t1,0.428,0.3531,1.211732394,0,0,,
2013,dib,dib03,t1,dib03_t1,0.779,0.4591,1.980521891,1,0,8,24
2012,dib,dib03,t1,dib03_t1,0.976,0.8426,1.216829102,0,0,8,24
2011,dib,dib03,t1,dib03_t1,1.08,0.7417,1.304807526,0,0,8,24
2010,dib,dib03,t1,dib03_t1,0.918,0.8375,1.137807964,0,0,8,24
2009,dib,dib03,t1,dib03_t1,0.671,0.3582,1.16638398,0,0,8,24
2008,dib,dib03,t1,dib03_t1,0.916,0.6004,1.31540649,0,0,8,24
2007,dib,dib03,t1,dib03_t1,0.822,0.8677,1.441092507,0,0,8,24
2006,dib,dib03,t1,dib03_t1,0.605,0.5046,1.557921745,0,0,8,24
2005,dib,dib03,t1,dib03_t1,1.055,0.6155,1.366213702,0,0,8,24
2013,dib,dib04,t1,dib04_t1,0.911,0.6912,1.317850033,1,0,14,28
2012,dib,dib04,t1,dib04_t1,0.765,0.6408,1.193485458,0,0,14,28
2011,dib,dib04,t1,dib04_t1,0.672,0.5297,1.268168566,0,0,14,28
2010,dib,dib04,t1,dib04_t1,1.354,0.9637,1.404901165,1,0,14,28
2009,dib,dib04,t1,dib04_t1,0.921,0.6407,1.437410708,0,0,14,28
2008,dib,dib04,t1,dib04_t1,0.77,0.6054,1.271597441,0,0,14,28
2007,dib,dib04,t1,dib04_t1,0.626,0.5954,1.052191245,0,0,14,28
2006,dib,dib04,t1,dib04_t1,0.405,0.4591,0.882587181,0,0,14,28
2005,dib,dib04,t1,dib04_t1,0.614,0.6559,0.936415702,0,0,14,28
2004,dib,dib04,t1,dib04_t1,0.762,0.6458,1.179803781,0,0,14,28
2003,dib,dib04,t1,dib04_t1,0.828,0.7013,1.181346408,0,0,14,28
2002,dib,dib04,t1,dib04_t1,0.609,0.6558,0.928595439,0,0,14,28
2001,dib,dib04,t1,dib04_t1,0.905,0.994,0.910483527,0,0,14,28
2000,dib,dib04,t1,dib04_t1,0.94,0.8173,1.150706924,0,0,14,28
1999,dib,dib04,t1,dib04_t1,1.055,0.9737,1.083899873,0,0,14,28
2013,dib,dib06,t1,dib06_t1,1.516,1.0595,1.431018203,0,0,8.5,21
2012,dib,dib06,t1,dib06_t1,0.873,0.6659,1.31094026,1,0,8.5,21
2011,dib,dib06,t1,dib06_t1,0.789,0.8729,0.904237984,0,0,8.5,21
2010,dib,dib06,t1,dib06_t1,0.852,0.787,1.08230833,0,0,8.5,21
2009,dib,dib06,t1,dib06_t1,0.544,0.4289,1.269272725,0,0,8.5,21
2008,dib,dib06,t1,dib06_t1,0.626,0.4843,1.291815789,0,0,8.5,21
2007,dib,dib06,t1,dib06_t1,0.439,0.3633,1.207037145,0,0,8.5,21
2006,dib,dib06,t1,dib06_t1,0.973,0.7467,1.303196182,0,0,8.5,21
2005,dib,dib06,t1,dib06_t1,0.853,0.6457,1.321787453,0,0,8.5,21
2004,dib,dib06,t1,dib06_t1,0.847,0.7165,1.181537246,0,0,8.5,21
2013,dib,dib08,t1,dib08_t1,0.611,0.4692,1.301598635,0,0,7,23
2012,dib,dib08,t1,dib08_t1,0.8,0.6256,1.279130192,0,0,7,23
2011,dib,dib08,t1,dib08_t1,0.857,0.7618,1.125605784,0,0,7,23
2010,dib,dib08,t1,dib08_t1,1.056,0.8527,1.23888827,0,0,7,23
2009,dib,dib08,t1,dib08_t1,0.799,0.6357,1.257396282,0,0,7,23
2008,dib,dib08,t1,dib08_t1,0.658,0.4894,1.343659308,0,0,7,23
