,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
189,1987JAN17,17/1/87,17,1987,JAN,winter,Delma,20.35179689,20.36,1987,1,0,9
190,1987JAN18,18/1/87,18,1987,JAN,winter,Delma,20.37489064,20.24,1987,1,0,10
191,1987JAN19,19/1/87,19,1987,JAN,winter,Delma,20.33423856,20.22,1987,1,0,11
192,1987JAN20,20/1/87,20,1987,JAN,winter,Delma,20.25567341,20.22,1987,1,0,12
193,1987JAN21,21/1/87,21,1987,JAN,winter,Delma,20.15758363,20.04,1987,1,0,13
194,1987JAN22,22/1/87,22,1987,JAN,winter,Delma,20.05790581,19.92,1987,1,0,14
195,1987JAN23,23/1/87,23,1987,JAN,winter,Delma,20.05018503,20.26,1987,1,0,15
196,1987JAN24,24/1/87,24,1987,JAN,winter,Delma,19.97482703,19.98,1987,1,0,16
197,1987JAN25,25/1/87,25,1987,JAN,winter,Delma,19.97818343,20.15,1987,1,0,17
198,1987JAN26,26/1/87,26,1987,JAN,winter,Delma,19.9930923,20.16,1987,1,0,18
199,1987JAN27,27/1/87,27,1987,JAN,winter,Delma,20.02334666,20.22,1987,1,0,19
200,1987JAN28,28/1/87,28,1987,JAN,winter,Delma,20.13623377,20.5,1987,1,0,20
201,1987JAN29,29/1/87,29,1987,JAN,winter,Delma,20.3554026,20.88,1987,1,0,21
202,1987JAN30,30/1/87,30,1987,JAN,winter,Delma,20.60534892,21.16,1987,1,0,22
203,1987JAN31,31/1/87,31,1987,JAN,winter,Delma,20.5913024,20.31,1987,1,0,23
204,1987FEB01,1/2/87,32,1987,FEB,winter,Delma,20.53046208,20.1,1987,1,0,24
205,1987FEB02,2/2/87,33,1987,FEB,winter,Delma,20.47640047,20.14,1987,1,0,25
206,1987FEB03,3/2/87,34,1987,FEB,winter,Delma,20.48888041,20.38,1987,1,0,26
207,1987FEB04,4/2/87,35,1987,FEB,winter,Delma,20.47702969,20.38,1987,1,0,27
208,1987FEB05,5/2/87,36,1987,FEB,winter,Delma,20.38275906,20.23,1987,1,0,28
