Date,date1,SST,SST_Anomaly,HotSpot,DHW
2013-Jul-28,28/7/13,32.54,0.232,0,0
2013-Jul-29,29/7/13,33.37,1.048,0.812,0
2013-Jul-30,30/7/13,33.927,1.591,1.369,0.196
2013-Jul-31,31/7/13,33.375,1.025,0.817,0.196
2013-Aug-01,1/8/13,32.87,0.507,0.312,0.196
2013-Aug-02,2/8/13,32.869,0.491,0.311,0.196
2013-Aug-03,3/8/13,32.528,0.137,0,0.196
2013-Aug-04,4/8/13,32.65,0.245,0.092,0.196
2013-Aug-05,5/8/13,32.481,0.062,0,0.196
2013-Aug-06,6/8/13,33.319,0.886,0.761,0.196
2013-Aug-07,7/8/13,32.893,0.446,0.335,0.196
2013-Aug-08,8/8/13,32.443,-0.017,0,0.196
2013-Aug-09,9/8/13,33.856,1.382,1.298,0.381
2013-Aug-10,10/8/13,32.535,0.047,0,0.381
2013-Aug-11,11/8/13,33.098,0.595,0.54,0.381
2013-Aug-12,12/8/13,32.534,0.017,0,0.381
2013-Aug-13,13/8/13,32.636,0.106,0.078,0.381
2013-Aug-14,14/8/13,33.722,1.178,1.164,0.547
2013-Aug-15,15/8/13,33.261,0.703,0.703,0.547
2013-Aug-16,16/8/13,33.617,1.064,1.059,0.699
2013-Aug-17,17/8/13,33.223,0.674,0.665,0.699
2013-Aug-18,18/8/13,32.948,0.404,0.39,0.699
2013-Aug-19,19/8/13,33.088,0.549,0.53,0.699
2013-Aug-20,20/8/13,32.86,0.325,0.302,0.699
2013-Aug-21,21/8/13,33.147,0.617,0.589,0.699
2013-Aug-22,22/8/13,32.958,0.432,0.4,0.699
2013-Aug-23,23/8/13,33.241,0.72,0.683,0.699
2013-Aug-24,24/8/13,33.353,0.837,0.795,0.699
2013-Aug-25,25/8/13,32.588,0.076,0.03,0.699
2013-Aug-26,26/8/13,33.193,0.686,0.635,0.699
2013-Aug-27,27/8/13,33.491,0.988,0.933,0.699
2013-Aug-28,28/8/13,33.67,1.172,1.112,0.858
2013-Aug-29,29/8/13,33.82,1.327,1.262,1.038
2013-Aug-30,30/8/13,33.531,1.042,0.973,1.038
2013-Aug-31,31/8/13,33.124,0.64,0.566,1.038
2013-Sep-01,1/9/13,33.413,0.933,0.855,1.038
2013-Sep-02,2/9/13,33.695,1.22,1.137,1.2
2013-Sep-03,3/9/13,34.037,1.567,1.479,1.412
2013-Sep-04,4/9/13,33.417,0.951,0.859,1.412
2013-Sep-05,5/9/13,33.13,0.669,0.572,1.412
2013-Sep-06,6/9/13,32.512,0.055,0,1.412
2013-Sep-07,7/9/13,33.135,0.683,0.577,1.412
2013-Sep-08,8/9/13,32.749,0.301,0.191,1.412
2013-Sep-09,9/9/13,32.411,-0.032,0,1.412
2013-Sep-10,10/9/13,32.727,0.289,0.169,1.412
2013-Sep-11,11/9/13,32.381,-0.052,0,1.412
2013-Sep-12,12/9/13,32.056,-0.373,0,1.412
2013-Sep-13,13/9/13,32.352,-0.072,0,1.412
2013-Sep-14,14/9/13,32.266,-0.153,0,1.412
2013-Sep-15,15/9/13,32.635,0.219,0.077,1.412
2013-Sep-16,16/9/13,32.576,0.212,0.018,1.412
2013-Sep-17,17/9/13,32.99,0.678,0.432,1.412
2013-Sep-18,18/9/13,32.997,0.738,0.439,1.412
2013-Sep-19,19/9/13,33.239,1.031,0.681,1.412
2013-Sep-20,20/9/13,33.161,1.005,0.603,1.412
2013-Sep-21,21/9/13,33.286,1.182,0.728,1.412
2013-Sep-22,22/9/13,33.076,1.024,0.518,1.412
2013-Sep-23,23/9/13,33.102,1.101,0.544,1.412
2013-Sep-24,24/9/13,32.555,0.606,0,1.412
2013-Sep-25,25/9/13,32.243,0.345,0,1.412
2013-Sep-26,26/9/13,32.327,0.482,0,1.412
2013-Sep-27,27/9/13,32.398,0.605,0,1.412
2013-Sep-28,28/9/13,32.112,0.37,0,1.412
2013-Sep-29,29/9/13,31.264,-0.426,0,1.412
2013-Sep-30,30/9/13,31.683,0.044,0,1.412
2013-Oct-01,1/10/13,31.288,-0.299,0,1.412
2013-Oct-02,2/10/13,31.53,-0.005,0,1.412
2013-Oct-03,3/10/13,31.365,-0.117,0,1.412
2013-Oct-04,4/10/13,31.714,0.283,0,1.412
2013-Oct-05,5/10/13,31.579,0.2,0,1.412
2013-Oct-06,6/10/13,32.221,0.893,0,1.412
2013-Oct-07,7/10/13,31.783,0.507,0,1.412
2013-Oct-08,8/10/13,31.393,0.169,0,1.412
2013-Oct-09,9/10/13,31.902,0.73,0,1.412
2013-Oct-10,10/10/13,31.646,0.526,0,1.412
2013-Oct-11,11/10/13,31.506,0.438,0,1.412
2013-Oct-12,12/10/13,31,-0.017,0,1.412
2013-Oct-13,13/10/13,31.026,0.062,0,1.412
2013-Oct-14,14/10/13,31.498,0.585,0,1.412
2013-Oct-15,15/10/13,31.084,0.223,0,1.412
2013-Oct-16,16/10/13,30.596,-0.179,0,1.412
2013-Oct-17,17/10/13,31.153,0.465,0,1.412
2013-Oct-18,18/10/13,30.671,0.069,0,1.412
2013-Oct-19,19/10/13,31.362,0.846,0,1.412
2013-Oct-20,20/10/13,31.218,0.789,0,1.412
2013-Oct-21,21/10/13,30.953,0.609,0,1.412
2013-Oct-22,22/10/13,30.587,0.33,0,1.216
2013-Oct-23,23/10/13,30.504,0.333,0,1.216
2013-Oct-24,24/10/13,29.914,-0.17,0,1.216
2013-Oct-25,25/10/13,30.253,0.254,0,1.216
2013-Oct-26,26/10/13,30.578,0.666,0,1.216
2013-Oct-27,27/10/13,30.762,0.936,0,1.216
2013-Oct-28,28/10/13,30.721,0.981,0,1.216
2013-Oct-29,29/10/13,30.386,0.733,0,1.216
2013-Oct-30,30/10/13,30.547,0.979,0,1.216
2013-Oct-31,31/10/13,30.196,0.715,0,1.216
2013-Nov-01,1/11/13,30.02,0.625,0,1.031
2013-Nov-02,2/11/13,29.959,0.651,0,1.031
2013-Nov-03,3/11/13,29.978,0.756,0,1.031
2013-Nov-04,4/11/13,29.815,0.68,0,1.031
2013-Nov-05,5/11/13,29.123,0.074,0,1.031
2013-Nov-06,6/11/13,29.146,0.182,0,0.864
2013-Nov-07,7/11/13,29.005,0.128,0,0.864
2013-Nov-08,8/11/13,28.972,0.181,0,0.713
2013-Nov-09,9/11/13,28.656,-0.048,0,0.713
2013-Nov-10,10/11/13,28.451,-0.167,0,0.713
2013-Nov-11,11/11/13,28.544,0.012,0,0.713
2013-Nov-12,12/11/13,28.306,-0.139,0,0.713
2013-Nov-13,13/11/13,28.733,0.374,0,0.713
2013-Nov-14,14/11/13,28.706,0.433,0,0.713
2013-Nov-15,15/11/13,28.548,0.361,0,0.713
2013-Nov-16,16/11/13,28.358,0.358,0,0.713
2013-Nov-17,17/11/13,28.465,0.651,0,0.713
2013-Nov-18,18/11/13,27.972,0.345,0,0.713
2013-Nov-19,19/11/13,27.498,0.057,0,0.713
2013-Nov-20,20/11/13,27.395,0.141,0,0.554
2013-Nov-21,21/11/13,27.236,0.169,0,0.374
2013-Nov-22,22/11/13,27.09,0.21,0,0.374
2013-Nov-23,23/11/13,26.792,0.098,0,0.374
2013-Nov-24,24/11/13,26.514,0.007,0,0.374
2013-Nov-25,25/11/13,26.054,-0.267,0,0.211
2013-Nov-26,26/11/13,25.855,-0.279,0,0
2013-Nov-27,27/11/13,25.788,-0.159,0,0
2013-Nov-28,28/11/13,25.646,-0.115,0,0
2013-Nov-29,29/11/13,25.598,0.024,0,0
2013-Nov-30,30/11/13,25.535,0.147,0,0
2013-Dec-01,1/12/13,25.231,0.03,0,0
2013-Dec-02,2/12/13,25.888,0.874,0,0
2013-Dec-03,3/12/13,25.77,0.942,0,0
2013-Dec-04,4/12/13,25.789,1.148,0,0
2013-Dec-05,5/12/13,25.482,1.027,0,0
2013-Dec-06,6/12/13,25.383,1.115,0,0
2013-Dec-07,7/12/13,25.24,1.158,0,0
2013-Dec-08,8/12/13,25.04,1.145,0,0
2013-Dec-09,9/12/13,25.147,1.439,0,0
2013-Dec-10,10/12/13,24.763,1.242,0,0
2013-Dec-11,11/12/13,24.543,1.208,0,0
2013-Dec-12,12/12/13,24.727,1.578,0,0
2013-Dec-13,13/12/13,24.658,1.696,0,0
2013-Dec-14,14/12/13,24.602,1.827,0,0
2013-Dec-15,15/12/13,24.238,1.649,0,0
2013-Dec-16,16/12/13,24.112,1.537,0,0
2013-Dec-17,17/12/13,23.929,1.367,0,0
2013-Dec-18,18/12/13,23.351,0.803,0,0
2013-Dec-19,19/12/13,23.148,0.613,0,0
2013-Dec-20,20/12/13,23.342,0.82,0,0
2013-Dec-21,21/12/13,22.893,0.385,0,0
2013-Dec-22,22/12/13,22.27,-0.224,0,0
2013-Dec-23,23/12/13,22.136,-0.345,0,0
2013-Dec-24,24/12/13,22.065,-0.402,0,0
2013-Dec-25,25/12/13,21.97,-0.485,0,0
2013-Dec-26,26/12/13,21.894,-0.547,0,0
2013-Dec-27,27/12/13,21.708,-0.72,0,0
2013-Dec-28,28/12/13,21.536,-0.878,0,0
2013-Dec-29,29/12/13,21.604,-0.796,0,0
2013-Dec-30,30/12/13,21.289,-1.098,0,0
2013-Dec-31,31/12/13,21.228,-1.146,0,0
2014-Jan-01,1/1/14,20.787,-1.573,0,0
2014-Jan-02,2/1/14,20.756,-1.591,0,0
2014-Jan-03,3/1/14,20.79,-1.543,0,0
2014-Jan-04,4/1/14,21.212,-1.108,0,0
2014-Jan-05,5/1/14,21.528,-0.778,0,0
2014-Jan-06,6/1/14,21.44,-0.853,0,0
2014-Jan-07,7/1/14,21.522,-0.757,0,0
2014-Jan-08,8/1/14,20.818,-1.448,0,0
2014-Jan-09,9/1/14,21.013,-1.24,0,0
2014-Jan-10,10/1/14,20.634,-1.605,0,0
2014-Jan-11,11/1/14,20.558,-1.668,0,0
2014-Jan-12,12/1/14,20.203,-2.009,0,0
2014-Jan-13,13/1/14,19.863,-2.336,0,0
2014-Jan-14,14/1/14,20.163,-2.022,0,0
2014-Jan-15,15/1/14,20.223,-1.949,0,0
2014-Jan-16,16/1/14,19.879,-2.261,0,0
2014-Jan-17,17/1/14,20.1,-2.007,0,0
2014-Jan-18,18/1/14,19.931,-2.144,0,0
2014-Jan-19,19/1/14,19.959,-2.084,0,0
