distance,t1,t2,date,date1,sst,sstanom,hotspot,dhw
1.7103,1.122812961,1.133613867,2013-Oct-12,12/10/13,30.541,0.28,0,0
1.7154,1.123185267,1.138467525,2013-Oct-11,11/10/13,31.395,1.111,0,0
1.7204,1.123768158,1.136439949,2013-Oct-10,10/10/13,30.663,0.356,0,0
1.7255,1.124321715,1.129863189,2013-Oct-09,9/10/13,30.757,0.427,0,0
1.7305,1.123518791,1.12150098,2013-Oct-08,8/10/13,31.078,0.726,0,0
1.7356,1.125610295,1.108898877,2013-Oct-07,7/10/13,31.289,0.913,0,0
1.7406,1.134239194,1.101512605,2013-Oct-06,6/10/13,31.631,1.232,0,0
1.7457,1.141373402,1.099637675,2013-Oct-05,5/10/13,31.198,0.777,0,0
1.7507,1.149818218,1.099889007,2013-Oct-04,4/10/13,31.091,0.647,0,0
1.7557,1.157742906,1.099989163,2013-Oct-03,3/10/13,30.718,0.251,0,0
1.7608,1.166861177,1.09939856,2013-Oct-02,2/10/13,30.741,0.251,0,0
1.7658,1.174607892,1.09982711,2013-Oct-01,1/10/13,30.777,0.264,0,0
1.7709,1.180776548,1.101150456,2013-Sep-30,30/9/13,29.53,-1.006,0,0
1.7759,1.185853053,1.100473888,2013-Sep-29,29/9/13,30.489,-0.07,0,0
1.781,1.186503403,1.099276119,2013-Sep-28,28/9/13,31.283,0.701,0,0
1.786,1.185449,1.097424264,2013-Sep-27,27/9/13,31.184,0.579,0,0
1.7911,1.183150937,1.09463218,2013-Sep-26,26/9/13,30.737,0.11,0,0
1.7961,1.176474308,1.090217148,2013-Sep-25,25/9/13,30.926,0.275,0,0
1.8012,1.166903395,1.087150856,2013-Sep-24,24/9/13,31.147,0.474,0,0
1.8062,1.157085222,1.086810695,2013-Sep-23,23/9/13,31.532,0.835,0,0
1.8112,1.146842195,1.090468022,2013-Sep-22,22/9/13,31.223,0.504,0,0
1.8163,1.138814965,1.098277696,2013-Sep-21,21/9/13,31.68,0.938,0,0
1.8213,1.131946428,1.108216806,2013-Sep-20,20/9/13,31.557,0.792,0,0
1.8264,1.129770227,1.121577823,2013-Sep-19,19/9/13,31.527,0.739,0,0
1.8314,1.130068363,1.133338382,2013-Sep-18,18/9/13,31.092,0.281,0,0
1.8365,1.14061973,1.144181309,2013-Sep-17,17/9/13,31.601,0.768,0,0
1.8415,1.152213982,1.15360947,2013-Sep-16,16/9/13,31.194,0.337,0,0
1.8466,1.164932939,1.160889645,2013-Sep-15,15/9/13,30.743,-0.137,0,0
1.8516,1.173779734,1.165825429,2013-Sep-14,14/9/13,30.013,-0.895,0,0
1.8567,1.178422773,1.168528964,2013-Sep-13,13/9/13,29.223,-1.713,0,0
1.8617,1.178669137,1.171318821,2013-Sep-12,12/9/13,28.873,-2.092,0,0
1.8667,1.17597259,1.17210165,2013-Sep-11,11/9/13,29.105,-1.888,0,0
1.8718,1.172191234,1.15975104,2013-Sep-10,10/9/13,30.327,-0.695,0,0
1.8768,1.167368161,1.151350295,2013-Sep-09,9/9/13,29.146,-1.905,0,0
1.8819,1.163811743,1.144713487,2013-Sep-08,8/9/13,29.658,-1.421,0,0
