Date,date1,SST,SST_Anomaly,HotSpot,DHW
2013-Mar-20,20/3/13,25.835,2.769,0,0
2013-Mar-21,21/3/13,24.992,1.838,0,0
2013-Mar-22,22/3/13,24.721,1.48,0,0
2013-Mar-23,23/3/13,25.096,1.768,0,0
2013-Mar-24,24/3/13,24.747,1.331,0,0
2013-Mar-25,25/3/13,24.629,1.125,0,0
2013-Mar-26,26/3/13,24.262,0.671,0,0
2013-Mar-27,27/3/13,24.527,0.848,0,0
2013-Mar-28,28/3/13,24.783,1.017,0,0
2013-Mar-29,29/3/13,25.769,1.914,0,0
2013-Mar-30,30/3/13,25.539,1.597,0,0
2013-Mar-31,31/3/13,26.123,2.093,0,0
2013-Apr-01,1/4/13,25.922,1.805,0,0
2013-Apr-02,2/4/13,26.615,2.41,0,0
2013-Apr-03,3/4/13,26.375,2.083,0,0
2013-Apr-04,4/4/13,25.708,1.328,0,0
2013-Apr-05,5/4/13,25.979,1.512,0,0
2013-Apr-06,6/4/13,25.48,0.925,0,0
2013-Apr-07,7/4/13,25.007,0.365,0,0
2013-Apr-08,8/4/13,25.191,0.461,0,0
2013-Apr-09,9/4/13,25.739,0.921,0,0
2013-Apr-10,10/4/13,26.723,1.818,0,0
2013-Apr-11,11/4/13,26.11,1.117,0,0
2013-Apr-12,12/4/13,26.063,0.982,0,0
2013-Apr-13,13/4/13,26.353,1.185,0,0
2013-Apr-14,14/4/13,27.474,2.218,0,0
2013-Apr-15,15/4/13,28.24,2.897,0,0
2013-Apr-16,16/4/13,28.923,3.453,0,0
2013-Apr-17,17/4/13,28.325,2.728,0,0
2013-Apr-18,18/4/13,27.632,1.908,0,0
2013-Apr-19,19/4/13,28.032,2.181,0,0
2013-Apr-20,20/4/13,28.447,2.469,0,0
2013-Apr-21,21/4/13,27.878,1.772,0,0
2013-Apr-22,22/4/13,27.203,0.971,0,0
2013-Apr-23,23/4/13,26.854,0.495,0,0
2013-Apr-24,24/4/13,26.714,0.227,0,0
2013-Apr-25,25/4/13,26.612,-0.002,0,0
2013-Apr-26,26/4/13,26.932,0.191,0,0
2013-Apr-27,27/4/13,26.608,-0.259,0,0
2013-Apr-28,28/4/13,25.793,-1.202,0,0
2013-Apr-29,29/4/13,27.072,-0.05,0,0
2013-Apr-30,30/4/13,27.459,0.21,0,0
2013-May-01,1/5/13,27.447,0.071,0,0
2013-May-02,2/5/13,27.029,-0.474,0,0
2013-May-03,3/5/13,27.17,-0.459,0,0
2013-May-04,4/5/13,27.425,-0.332,0,0
2013-May-05,5/5/13,27.615,-0.269,0,0
2013-May-06,6/5/13,26.957,-1.054,0,0
2013-May-07,7/5/13,27.341,-0.797,0,0
2013-May-08,8/5/13,27.583,-0.682,0,0
2013-May-09,9/5/13,27.09,-1.302,0,0
2013-May-10,10/5/13,27.763,-0.755,0,0
2013-May-11,11/5/13,28.295,-0.351,0,0
2013-May-12,12/5/13,29.15,0.377,0,0
2013-May-13,13/5/13,29.461,0.561,0,0
2013-May-14,14/5/13,27.972,-1.055,0,0
2013-May-15,15/5/13,29.028,-0.126,0,0
2013-May-16,16/5/13,29.565,0.337,0,0
2013-May-17,17/5/13,29.22,-0.081,0,0
2013-May-18,18/5/13,28.356,-1.019,0,0
2013-May-19,19/5/13,28.612,-0.837,0,0
2013-May-20,20/5/13,29.113,-0.411,0,0
2013-May-21,21/5/13,29.271,-0.326,0,0
2013-May-22,22/5/13,29.159,-0.512,0,0
2013-May-23,23/5/13,29.117,-0.628,0,0
2013-May-24,24/5/13,28.994,-0.824,0,0
2013-May-25,25/5/13,29.173,-0.72,0,0
2013-May-26,26/5/13,29.82,-0.146,0,0
2013-May-27,27/5/13,29.622,-0.419,0,0
2013-May-28,28/5/13,29.785,-0.329,0,0
2013-May-29,29/5/13,29.75,-0.438,0,0
2013-May-30,30/5/13,29.992,-0.27,0,0
2013-May-31,31/5/13,29.925,-0.411,0,0
2013-Jun-01,1/6/13,30.455,0.045,0,0
2013-Jun-02,2/6/13,30.395,-0.088,0,0
2013-Jun-03,3/6/13,30.25,-0.307,0,0
2013-Jun-04,4/6/13,31.62,0.988,0,0
2013-Jun-05,5/6/13,31.328,0.623,0,0
2013-Jun-06,6/6/13,30.599,-0.18,0,0
2013-Jun-07,7/6/13,31.614,0.761,0,0
2013-Jun-08,8/6/13,31.57,0.644,0,0
2013-Jun-09,9/6/13,31.289,0.288,0,0
2013-Jun-10,10/6/13,31.321,0.247,0,0
2013-Jun-11,11/6/13,31.953,0.805,0,0
2013-Jun-12,12/6/13,31.316,0.094,0,0
2013-Jun-13,13/6/13,30.905,-0.39,0,0
2013-Jun-14,14/6/13,31.159,-0.211,0,0
2013-Jun-15,15/6/13,31.96,0.516,0,0
2013-Jun-16,16/6/13,31.551,0.086,0,0
2013-Jun-17,17/6/13,31.761,0.275,0,0
2013-Jun-18,18/6/13,32.222,0.713,0.133,0
2013-Jun-19,19/6/13,31.624,0.094,0,0
2013-Jun-20,20/6/13,31.084,-0.467,0,0
2013-Jun-21,21/6/13,31.455,-0.117,0,0
2013-Jun-22,22/6/13,31.151,-0.443,0,0
2013-Jun-23,23/6/13,31.314,-0.302,0,0
2013-Jun-24,24/6/13,31.691,0.054,0,0
2013-Jun-25,25/6/13,30.784,-0.875,0,0
2013-Jun-26,26/6/13,31.08,-0.6,0,0
2013-Jun-27,27/6/13,30.995,-0.707,0,0
2013-Jun-28,28/6/13,31.389,-0.334,0,0
2013-Jun-29,29/6/13,31.354,-0.391,0,0
2013-Jun-30,30/6/13,31.524,-0.242,0,0
2013-Jul-01,1/7/13,31.327,-0.461,0,0
2013-Jul-02,2/7/13,31.537,-0.272,0,0
2013-Jul-03,3/7/13,31.306,-0.525,0,0
2013-Jul-04,4/7/13,31.45,-0.402,0,0
2013-Jul-05,5/7/13,31.56,-0.313,0,0
2013-Jul-06,6/7/13,31.465,-0.43,0,0
2013-Jul-07,7/7/13,31.356,-0.561,0,0
2013-Jul-08,8/7/13,31.056,-0.882,0,0
2013-Jul-09,9/7/13,31.636,-0.324,0,0
2013-Jul-10,10/7/13,30.891,-1.091,0,0
2013-Jul-11,11/7/13,31.104,-0.899,0,0
2013-Jul-12,12/7/13,31.214,-0.81,0,0
2013-Jul-13,13/7/13,31.119,-0.927,0,0
2013-Jul-14,14/7/13,31.213,-0.854,0,0
2013-Jul-15,15/7/13,30.425,-1.664,0,0
2013-Jul-16,16/7/13,30.26,-1.818,0,0
2013-Jul-17,17/7/13,30.819,-1.248,0,0
2013-Jul-18,18/7/13,30.882,-1.175,0,0
2013-Jul-19,19/7/13,30.823,-1.223,0,0
2013-Jul-20,20/7/13,29.986,-2.048,0,0
2013-Jul-21,21/7/13,30.166,-1.858,0,0
2013-Jul-22,22/7/13,30.47,-1.543,0,0
2013-Jul-23,23/7/13,30.306,-1.696,0,0
2013-Jul-24,24/7/13,30.509,-1.482,0,0
2013-Jul-25,25/7/13,30.661,-1.32,0,0
2013-Jul-26,26/7/13,31.158,-0.811,0,0
2013-Jul-27,27/7/13,31.189,-0.77,0,0
2013-Jul-28,28/7/13,30.58,-1.368,0,0
2013-Jul-29,29/7/13,29.497,-2.441,0,0
2013-Jul-30,30/7/13,30.005,-1.922,0,0
2013-Jul-31,31/7/13,30.715,-1.201,0,0
2013-Aug-01,1/8/13,30.706,-1.199,0,0
2013-Aug-02,2/8/13,30.72,-1.175,0,0
2013-Aug-03,3/8/13,30.859,-1.025,0,0
2013-Aug-04,4/8/13,31.045,-0.828,0,0
2013-Aug-05,5/8/13,31.586,-0.276,0,0
2013-Aug-06,6/8/13,31.429,-0.423,0,0
2013-Aug-07,7/8/13,31.177,-0.663,0,0
2013-Aug-08,8/8/13,31.299,-0.531,0,0
2013-Aug-09,9/8/13,32.759,0.94,0.67,0
2013-Aug-10,10/8/13,30.865,-0.943,0,0
2013-Aug-11,11/8/13,31.182,-0.615,0,0
2013-Aug-12,12/8/13,30.424,-1.363,0,0
