"colony","year","Site","track","sample","height","dia","StavR","WtavR","WtsdR","StsdR","winSlope","sumSlope","ccoldday","warmday","WcsavR","WcssdR","ScsavR","ScssdR","cummu_dhwm","cummu_dcwm","gulf","density","count95","count90","count10","count05","Bheight"
"ras12",2003,"RasGhanada","t2","ras12_t2",12,16,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.299018979,2,33,24,1,6.3922
"ras13",2003,"RasGhanada","t1","ras13_t1",8.5,23,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.100511519,2,33,24,1,3.12175
"ras13",2003,"RasGhanada","t2","ras13_t2",8.5,23,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.213052925,2,33,24,1,3.12175
"ras16",2003,"RasGhanada","t1","ras16_t1",7,15,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.566861235,2,33,24,1,1.88915
"ras16",2003,"RasGhanada","t2","ras16_t2",7,15,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.143806746,2,33,24,1,1.88915
"ras21",2003,"RasGhanada","t1","ras21_t1",8.5,24,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.39504033,2,33,24,1,3.369
"ras21",2003,"RasGhanada","t2","ras21_t2",8.5,24,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.3157615,2,33,24,1,3.369
"sad05",2003,"Saadiyat","t1","sad05_t1",11,18,33.6114754098361,20.8186885245902,0.526625975463409,0.418249670514211,0.0805096925546363,-0.0977303370786518,29,330,0.0878524590163934,0.0635916231552484,0.0812950819672131,0.0391528390891793,0,0,"gulf",1.288997834,2,29,33,2,3.86375
"sad05",2003,"Saadiyat","t2","sad05_t2",11,18,33.6114754098361,20.8186885245902,0.526625975463409,0.418249670514211,0.0805096925546363,-0.0977303370786518,29,330,0.0878524590163934,0.0635916231552484,0.0812950819672131,0.0391528390891793,0,0,"gulf",1.29983456,2,29,33,2,3.86375
"sad07",2003,"Saadiyat","t1","sad07_t1",10,17,33.6114754098361,20.8186885245902,0.526625975463409,0.418249670514211,0.0805096925546363,-0.0977303370786518,29,330,0.0878524590163934,0.0635916231552484,0.0812950819672131,0.0391528390891793,0,0,"gulf",1.579263264,2,29,33,2,3.16875
